Typ;Name;Artikel_Nr;Beschreibung;Einheit;EK_Preis;VK_Preis_1;VK_Preis_2;VK_Preis_3;Subunternehmer
Artikel;Schiebegriff Drehgriff Innen;;Hebeschiebegriff GU HST-Drehgriff ohne  außen Muschel ohne Pz.;Stück;0,0;211,0;0,0;0,0;Nein
Artikel;Belastetes Alteisen entsorgen;;Belastetes Alteisen, welches  ordnungsgemäß entsorgt werden muss.;Stk;38,4;42,24;46,08;49,92;Nein
Artikel;Reparatur / Sicherung Oberlicht;;Ausgeführt wie folgt für 1 Mitarbeiter Dienend zur Schadensfestellung und Sicherung mit anschließender Reparatur Umbau.  - Werkzeug auftragsspezifisch zusammenstellen soweit möglich.  - Einsatzfahrzeug aufgaben spezifisch packen  - Anfahrtzeit zum Einsatzort. Einrüstzeit  - Schadenanalyse & Aufmaß - Material Ermittlung - Sicherung des Elements - Materialeinkauf - Arbeitszeit vor Ort - Werkzeug Rückbau und in das Lieferfahrzeug verbringen.;Stk;317,0;467,0;0,0;0,0;Nein
Artikel;Laufwagen Groß;;Laufwagen Groß für Hebschiebetüren;Stk;120,0;250,0;0,0;0,0;Nein
Artikel;Türgriff passend erneuern.;;Vorhandenen Türgriff demontieren und  neuen Griff liefern und montieren;Stk;0,0;158,0;0,0;0,0;Nein
Artikel;Psk Griff liefern Hautau / Roto/ GU;;Die Bauform ist auf den Einsatz in PSK- Elementen abgestimmt und unterstützt  eine zuverlässige Griffbedienung bei  schmalen Profilen. Die Produktvariante  ist geeignet, wenn  ein robuster, langlebiger Griff für  Kunststoff- oder Holzfenster gewünscht  wird.;Stk;70,0;91,0;125,0;160,0;Nein
Leistung;Hebe-Schiebe-Element bis 2,5M reparieren;Leist2660;Hebe-Schiebe-Element bis 2,5M reparieren Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit ;Stk.;1600,0;2000,0;0;0;Nein
Leistung;HS-Element ALU BxD bis 1,5/45mm rep.4566,-;Leist2661 euro ;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit ;Stk.;2400,0;2760,0;0;0;Nein
Leistung;Notdienst wie folgt für 1 Mitarbeiter ;Leist2662;- Notdienst wie folgt für 1 Mitarbeiter- Werkzeug auftragsspezifisch zusammenstellen- Einsatzfahrzeug aufgaben spezifisch packen- Anfahrtzeit zum Einsatzort. - Einrüstzeit;Stueck;0,0;360,0;0;0;Nein
Leistung;Fensterreparatur;Leist2663;Test fenstereparatur ob lohnanteil in dokumente berechnet und ausgewiesen wird.;Stunde;110,0;126,5;0;0;Nein
Leistung;±1± Mitarbeiter 2 STD. Notdienst;;Notdienst wie folgt für 1 Mitarbeiter  - Werkzeug auftragsspezifisch  zusammenstellen - Einsatzfahrzeug aufgaben spezifisch  packen - Anfahrtzeit zum Einsatzort.  Einrüstzeit - Schadenanalyse & Aufmaß Reparaturzeit  vor Ort  - Sicherung des Elements Reparatur  nicht komplett möglich. - Werkzeug Rückbau und in das  Lieferfahrzeug verbringen - Abnahmeprotokoll erstellen und  unterschreiben lassen.;Stk;80,0;120,0;0,0;0,0;Nein
Leistung;HS-Element Holz BxD 1,8/45mm rep.;;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit;Stk;2200,0;2530,0;2750,0;3080,0;Nein
